"","Name","Gender","Origin","YLD_BE_GCA","YLD_BE_Std_Err","YLD_BE_z_ratio","YLD_BE_GCA_pct","YLD_BE_N","YLD_BE_P1_N","YLD_BE_P2_N","YLD_BE_P3_N","YLD_BE_P4_N","YLD_BE_P1_X","YLD_BE_P2_X","YLD_BE_P3_X","YLD_BE_P4_X","MST_GCA","MST_Std_Err","MST_z_ratio","MST_GCA_pct","MST_N","MST_P1_N","MST_P2_N","MST_P3_N","MST_P4_N","MST_P1_X","MST_P2_X","MST_P3_X","MST_P4_X","TWT_BE_GCA","TWT_BE_Std_Err","TWT_BE_z_ratio","TWT_BE_GCA_pct","TWT_BE_N","TWT_BE_P1_N","TWT_BE_P2_N","TWT_BE_P3_N","TWT_BE_P4_N","TWT_BE_P1_X","TWT_BE_P2_X","TWT_BE_P3_X","TWT_BE_P4_X","STLP_GCA","STLP_Std_Err","STLP_z_ratio","STLP_GCA_pct","STLP_N","STLP_P1_N","STLP_P2_N","STLP_P3_N","STLP_P4_N","STLP_P1_X","STLP_P2_X","STLP_P3_X","STLP_P4_X","SELTM_GCA","SELTM_Std_Err","SELTM_z_ratio","SELTM_GCA_pct","SELTM_N","SELTM_P1_N","SELTM_P2_N","SELTM_P3_N","SELTM_P4_N","SELTM_P1_X","SELTM_P2_X","SELTM_P3_X","SELTM_P4_X","SELIN_GCA","SELIN_Std_Err","SELIN_z_ratio","SELIN_GCA_pct","SELIN_N","SELIN_P1_N","SELIN_P2_N","SELIN_P3_N","SELIN_P4_N","SELIN_P1_X","SELIN_P2_X","SELIN_P3_X","SELIN_P4_X","RTLP_GCA","RTLP_Std_Err","RTLP_z_ratio","RTLP_GCA_pct","RTLP_N","RTLP_P1_N","RTLP_P2_N","RTLP_P3_N","RTLP_P4_N","RTLP_P1_X","RTLP_P2_X","RTLP_P3_X","RTLP_P4_X","PHT_GCA","PHT_Std_Err","PHT_z_ratio","PHT_GCA_pct","PHT_N","PHT_P1_N","PHT_P2_N","PHT_P3_N","PHT_P4_N","PHT_P1_X","PHT_P2_X","PHT_P3_X","PHT_P4_X","MST_BE_GCA","MST_BE_Std_Err","MST_BE_z_ratio","MST_BE_GCA_pct","MST_BE_N","MST_BE_P1_N","MST_BE_P2_N","MST_BE_P3_N","MST_BE_P4_N","MST_BE_P1_X","MST_BE_P2_X","MST_BE_P3_X","MST_BE_P4_X","FNSP_GCA","FNSP_Std_Err","FNSP_z_ratio","FNSP_GCA_pct","FNSP_N","FNSP_P1_N","FNSP_P2_N","FNSP_P1_X","FNSP_P2_X","ERM_GCA","ERM_Std_Err","ERM_z_ratio","ERM_GCA_pct","ERM_N","ERM_P1_N","ERM_P2_N","ERM_P3_N","ERM_P4_N","ERM_P1_X","ERM_P2_X","ERM_P3_X","ERM_P4_X","EHT_GCA","EHT_Std_Err","EHT_z_ratio","EHT_GCA_pct","EHT_N","EHT_P1_N","EHT_P2_N","EHT_P3_N","EHT_P4_N","EHT_P1_X","EHT_P2_X","EHT_P3_X","EHT_P4_X","TDPP_GCA","TDPP_Std_Err","TDPP_z_ratio","TDPP_GCA_pct","TDPP_N","TDPP_P1_N","TDPP_P2_N","TDPP_P3_N","TDPP_P4_N","TDPP_P1_X","TDPP_P2_X","TDPP_P3_X","TDPP_P4_X","TWT_GCA","TWT_Std_Err","TWT_z_ratio","TWT_GCA_pct","TWT_N","TWT_P1_N","TWT_P2_N","TWT_P3_N","TWT_P4_N","TWT_P1_X","TWT_P2_X","TWT_P3_X","TWT_P4_X","BHD_GCA","BHD_Std_Err","BHD_z_ratio","BHD_GCA_pct","BHD_N","BHD_P1_N","BHD_P2_N","BHD_P3_N","BHD_P4_N","BHD_P1_X","BHD_P2_X","BHD_P3_X","BHD_P4_X"
"1","JUDA017","F","01DKD2*2/7640",1.303,4.529,0.288,101.18,15,0,0,15,0,0,0,1,0,-1.229,0.598,-2.057,94.4,11,0,0,11,0,0,0,1,0,1.514,1.238,1.223,102.14,6,0,0,6,0,0,0,1,0,-0.171,4.347,-0.039,99.06,5,0,0,5,0,0,0,1,0,6.661,4.449,1.497,106.54,15,0,0,15,0,0,0,1,0,6.71,5.072,1.323,106.08,15,0,0,15,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.693,6.565,-0.106,99.71,9,0,0,9,0,0,0,1,0,-1.274,0.595,-2.14,94.2,11,0,0,11,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.102,4.563,1.118,104.4,11,0,0,11,0,0,0,1,0,-1.632,4.523,-0.361,91.26,5,0,0,5,0,0,0,1,0,1.592,1.275,1.249,102.24,6,0,0,6,0,0,0,1,0,0.416,0.776,0.536,100.43,2,0,0,2,0,0,0,1,0
"2","PA3426+PZ4494","F","PA3426+PZ4494",-3.795,5.872,-0.646,96.55,35,23,5,4,3,1,1,1,1,-0.485,0.781,-0.621,97.79,34,22,5,4,3,1,1,1,1,1.581,2.186,0.723,102.23,12,8,2,2,0,1,1,1,0,-0.722,4.363,-0.165,96.03,18,11,2,2,3,1,1,1,1,-7.8,4.337,-1.799,92.34,34,22,5,4,3,1,1,1,1,-7.726,4.996,-1.547,93,34,22,5,4,3,1,1,1,1,2.248,2.195,1.024,121.82,17,11,2,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.544,0.783,-0.695,97.52,35,23,5,4,3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.900914115125,3.89187079498709,NA,NA,15,10,2,3,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.838,4.261,0.431,109.85,18,11,2,2,3,1,1,1,1,1.627,2.351,0.692,102.29,12,8,2,2,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","PZ9N730","M","PA3003/PZ7012//PZ7006/PZ7645",-6.571,3.018,-2.177,94.03,41,10,8,23,0,4,2,2,0,0.794,0.325,2.443,103.62,40,11,8,21,0,4,2,2,0,-1.069,0.614,-1.742,98.49,28,8,6,14,0,4,2,2,0,2.138,5.725,0.374,111.77,5,0,0,5,0,0,0,1,0,-4.49,3.148,-1.426,95.59,40,9,8,23,0,4,2,2,0,-6.484,3.537,-1.833,94.13,40,10,8,22,0,4,2,2,0,0,0.004,0,100,5,1,0,4,0,1,0,2,0,-0.069,3.639,-0.019,99.97,32,12,7,13,0,4,2,2,0,0.795,0.323,2.459,103.62,40,11,8,21,0,4,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.400690779955,2.73333709184016,NA,NA,4,2,0,2,0,2,0,1,0,0.022,2.617,0.008,100.02,30,12,5,13,0,4,2,2,0,-0.864,4.087,-0.211,95.37,10,1,0,9,0,1,0,2,0,-1.004,0.64,-1.57,98.58,27,7,6,14,0,4,2,2,0,0.447,0.734,0.609,100.46,6,2,2,2,0,2,2,1,0
"4","RATI061","F","01DKD2/UB1B11//NT1B21",-1.674,5.395,-0.31,98.48,4,0,4,0,0,0,1,0,0,-0.779,0.713,-1.093,96.45,4,0,4,0,0,0,1,0,0,-0.513,1.414,-0.363,99.28,3,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,5.104,0.131,100.66,4,0,4,0,0,0,1,0,0,0.477,5.858,0.081,100.43,4,0,4,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.868,6.812,-0.421,98.8,4,0,4,0,0,0,1,0,0,-0.819,0.711,-1.152,96.27,4,0,4,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.988,5.25,-0.569,97.42,3,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.594,1.461,-0.406,99.16,3,0,3,0,0,0,1,0,0,-0.068,0.773,-0.087,99.93,1,0,1,0,0,0,1,0,0
"5","RATI062","F","01DKD2/UB1B11//NT1B21",-4.03,3.11,-1.296,96.34,29,18,11,0,0,6,3,0,0,-0.152,0.358,-0.425,99.31,29,18,11,0,0,6,3,0,0,1.258,0.617,2.039,101.78,23,15,8,0,0,3,3,0,0,-0.228,4.174,-0.055,98.74,5,5,0,0,0,4,0,0,0,-1.771,3.514,-0.504,98.26,29,18,11,0,0,6,3,0,0,-0.867,3.948,-0.22,99.21,29,18,11,0,0,6,3,0,0,-0.125,2.592,-0.048,98.79,3,3,0,0,0,3,0,0,0,-11.288,3.623,-3.116,95.28,24,14,10,0,0,3,3,0,0,-0.053,0.356,-0.148,99.76,29,18,11,0,0,6,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.393719668366,3.10446910064047,NA,NA,7,7,0,0,0,6,0,0,0,-3.2,2.708,-1.182,97.24,22,14,8,0,0,3,3,0,0,-0.525,4.372,-0.12,97.19,5,5,0,0,0,4,0,0,0,1.269,0.631,2.011,101.79,23,15,8,0,0,3,3,0,0,-0.09,0.613,-0.147,99.91,5,2,3,0,0,2,3,0,0
"6","REDA003","F","RETI612/01DKD2",-4.241,3.264,-1.299,96.15,26,26,0,0,0,3,0,0,0,-1.937,0.378,-5.126,91.18,26,26,0,0,0,3,0,0,0,3.135,0.597,5.248,104.43,25,25,0,0,0,3,0,0,0,-2.028,4.077,-0.497,88.84,6,6,0,0,0,3,0,0,0,-7.93,3.687,-2.151,92.21,25,25,0,0,0,3,0,0,0,-5.536,4.198,-1.319,94.99,24,24,0,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.052,4.423,1.368,102.53,15,15,0,0,0,3,0,0,0,-2.031,0.376,-5.405,90.75,26,26,0,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.496882362556,5.17829458224764,NA,NA,2,2,0,0,0,2,0,0,0,4.669,3.273,1.427,104.03,14,14,0,0,0,3,0,0,0,-2.428,4.266,-0.569,86.99,6,6,0,0,0,3,0,0,0,3.149,0.611,5.156,104.44,25,25,0,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","RERO760","M","GM9215/CP5562",14.369,3.456,4.158,113.06,30,30,0,0,0,4,0,0,0,-1.06,0.364,-2.909,95.17,31,31,0,0,0,4,0,0,0,1.872,0.605,3.094,102.64,29,29,0,0,0,4,0,0,0,0.145,5.887,0.025,100.8,3,3,0,0,0,3,0,0,0,1.609,3.433,0.469,101.58,30,30,0,0,0,4,0,0,0,4.447,3.873,1.148,104.03,30,30,0,0,0,4,0,0,0,0,0.004,0,100,1,1,0,0,0,1,0,0,0,22.601,4.705,4.804,109.44,17,17,0,0,0,4,0,0,0,-0.969,0.362,-2.673,95.59,31,31,0,0,0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.523013732116,2.60293935901843,NA,NA,5,5,0,0,0,4,0,0,0,8.905,3.325,2.678,107.68,17,17,0,0,0,4,0,0,0,-0.307,4.798,-0.064,98.36,4,4,0,0,0,4,0,0,0,2.089,0.621,3.365,102.95,29,29,0,0,0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","RIRO612","M","CP7502/01INL1//RISI514",12.166,3.465,3.511,111.06,28,17,7,4,0,2,1,1,0,-0.555,0.369,-1.504,97.47,28,17,7,4,0,2,1,1,0,2.534,0.658,3.849,103.58,22,17,5,0,0,2,1,0,0,-1.139,5.238,-0.218,93.73,5,3,0,2,0,1,0,1,0,3.091,3.45,0.896,103.04,28,17,7,4,0,2,1,1,0,3.28,3.932,0.834,102.97,27,16,7,4,0,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.331,5.521,-1.509,96.52,11,7,2,2,0,2,1,1,0,-0.538,0.367,-1.468,97.55,28,17,7,4,0,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.523013732116,2.36972802916417,NA,NA,7,5,2,0,0,2,1,0,0,-5.304,3.534,-1.501,95.42,14,8,2,4,0,2,1,1,0,-1.375,4.605,-0.299,92.63,5,3,0,2,0,1,0,1,0,2.597,0.675,3.849,103.66,22,17,5,0,0,2,1,0,0,1.689,1.015,1.665,101.73,2,0,0,2,0,0,0,1,0
"9","RITU520","F","UB1B12/UB1B11",-11.048,2.878,-3.839,89.96,36,21,15,0,0,6,4,0,0,0.621,0.329,1.891,102.83,36,21,15,0,0,6,4,0,0,0.329,0.567,0.579,100.46,28,17,11,0,0,6,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.412,3.291,-2.86,90.75,36,21,15,0,0,6,4,0,0,-9.254,3.689,-2.508,91.62,36,21,15,0,0,6,4,0,0,0.081,2.673,0.03,100.79,1,1,0,0,0,1,0,0,0,-14.89,3.023,-4.926,93.78,38,23,15,0,0,6,4,0,0,0.522,0.327,1.597,102.38,36,21,15,0,0,6,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.403750263199,6.4170730440541,NA,NA,1,1,0,0,0,1,0,0,0,-10.391,2.238,-4.643,91.03,36,23,13,0,0,6,4,0,0,0.118,4.884,0.024,100.63,2,2,0,0,0,2,0,0,0,0.34,0.58,0.586,100.48,28,17,11,0,0,6,4,0,0,-0.191,0.513,-0.372,99.8,10,6,4,0,0,6,4,0,0
"10","RODA009","F","UB1B11/01DKD2",-1.483,5.395,-0.275,98.65,4,4,0,0,0,1,0,0,0,-0.922,0.713,-1.293,95.8,4,4,0,0,0,1,0,0,0,0.663,1.274,0.521,100.94,4,4,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.992,5.104,0.194,100.97,4,4,0,0,0,1,0,0,0,2.133,5.858,0.364,101.93,4,4,0,0,0,1,0,0,0,0.171,2.672,0.064,101.66,1,1,0,0,0,1,0,0,0,-13.186,6.812,-1.936,94.49,4,4,0,0,0,1,0,0,0,-0.817,0.711,-1.149,96.28,4,4,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.079,4.89,-1.652,93.03,4,4,0,0,0,1,0,0,0,0.374,5.079,0.074,102,1,1,0,0,0,1,0,0,0,0.739,1.313,0.563,101.04,4,4,0,0,0,1,0,0,0,-0.068,0.773,-0.087,99.93,1,1,0,0,0,1,0,0,0
