Id,Street,LandSlope,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,PavedDrive,OpenPorchSF,SaleCondition,SalePrice
1,Pave,Gtl,CollgCr,2Story,7,5,2003,Ex,856,854,1710,8,0,2,548,Y,61,Normal,208500
2,Pave,Gtl,Veenker,1Story,6,8,1976,Ex,1262,0,1262,6,1,2,460,Y,0,Normal,181500
3,Pave,Gtl,CollgCr,2Story,7,5,2001,Ex,920,866,1786,6,1,2,608,Y,42,Normal,223500
4,Pave,Gtl,Crawfor,2Story,7,5,1915,Gd,961,756,1717,7,1,3,642,Y,35,Abnorml,140000
5,Pave,Gtl,NoRidge,2Story,8,5,2000,Ex,1145,1053,2198,9,1,3,836,Y,84,Normal,250000
6,Pave,Gtl,Mitchel,1.5Fin,5,5,1993,Ex,796,566,1362,5,0,2,480,Y,30,Normal,143000
7,Pave,Gtl,Somerst,1Story,8,5,2004,Ex,1694,0,1694,7,1,2,636,Y,57,Normal,307000
8,Pave,Gtl,NWAmes,2Story,7,6,1973,Ex,1107,983,2090,7,2,2,484,Y,204,Normal,200000
9,Pave,Gtl,OldTown,1.5Fin,7,5,1931,Gd,1022,752,1774,8,2,2,468,Y,0,Abnorml,129900
10,Pave,Gtl,BrkSide,1.5Unf,5,6,1939,Ex,1077,0,1077,5,2,1,205,Y,4,Normal,118000
11,Pave,Gtl,Sawyer,1Story,5,5,1965,Ex,1040,0,1040,5,0,1,384,Y,0,Normal,129500
12,Pave,Gtl,NridgHt,2Story,9,5,2005,Ex,1182,1142,2324,11,2,3,736,Y,21,Partial,345000
13,Pave,Gtl,Sawyer,1Story,5,6,1962,TA,912,0,912,4,0,1,352,Y,0,Normal,144000
14,Pave,Gtl,CollgCr,1Story,7,5,2006,Ex,1494,0,1494,7,1,3,840,Y,33,Partial,279500
15,Pave,Gtl,NAmes,1Story,6,5,1960,TA,1253,0,1253,5,1,1,352,Y,213,Normal,157000
16,Pave,Gtl,BrkSide,1.5Unf,7,8,1929,Ex,854,0,854,5,0,2,576,Y,112,Normal,132000
17,Pave,Gtl,NAmes,1Story,6,7,1970,Ex,1004,0,1004,5,1,2,480,Y,0,Normal,149000
18,Pave,Gtl,Sawyer,1Story,4,5,1967,TA,1296,0,1296,6,0,2,516,Y,0,Normal,90000
19,Pave,Gtl,SawyerW,1Story,5,5,2004,Ex,1114,0,1114,6,0,2,576,Y,102,Normal,159000
20,Pave,Gtl,NAmes,1Story,5,6,1958,TA,1339,0,1339,6,0,1,294,Y,0,Abnorml,139000
21,Pave,Gtl,NridgHt,2Story,8,5,2005,Ex,1158,1218,2376,9,1,3,853,Y,154,Partial,325300
22,Pave,Gtl,IDOTRR,1.5Unf,7,7,1930,Ex,1108,0,1108,6,1,1,280,N,0,Normal,139400
23,Pave,Gtl,CollgCr,1Story,8,5,2002,Ex,1795,0,1795,7,1,2,534,Y,159,Normal,230000
24,Pave,Gtl,MeadowV,1Story,5,7,1976,TA,1060,0,1060,6,1,2,572,Y,110,Normal,129900
25,Pave,Gtl,Sawyer,1Story,5,8,1968,Ex,1060,0,1060,6,1,1,270,Y,90,Normal,154000
26,Pave,Gtl,NridgHt,1Story,8,5,2007,Ex,1600,0,1600,7,1,3,890,Y,56,Normal,256300
27,Pave,Gtl,NAmes,1Story,5,7,1951,TA,900,0,900,5,0,2,576,Y,32,Normal,134800
28,Pave,Gtl,NridgHt,1Story,8,5,2007,Ex,1704,0,1704,7,1,3,772,Y,50,Normal,306000
29,Pave,Gtl,NAmes,1Story,5,6,1957,TA,1600,0,1600,6,2,1,319,Y,258,Normal,207500
30,Pave,Gtl,BrkSide,1Story,4,6,1927,Fa,520,0,520,4,0,1,240,Y,0,Normal,68500
31,Pave,Gtl,IDOTRR,2Story,4,4,1920,TA,649,668,1317,6,0,1,250,N,54,Normal,40000
32,Pave,Gtl,Sawyer,1Story,5,6,1966,Gd,1228,0,1228,6,0,1,271,Y,65,Normal,149350
33,Pave,Gtl,CollgCr,1Story,8,5,2007,Ex,1234,0,1234,7,0,2,484,Y,30,Normal,179900
34,Pave,Gtl,NAmes,1Story,5,5,1959,Gd,1700,0,1700,6,1,2,447,Y,38,Normal,165500
35,Pave,Gtl,NridgHt,1Story,9,5,2005,Ex,1561,0,1561,6,1,2,556,Y,47,Normal,277500
36,Pave,Gtl,NridgHt,2Story,8,5,2004,Ex,1132,1320,2452,9,1,3,691,Y,32,Normal,309000
37,Pave,Gtl,CollgCr,1Story,5,5,1994,Ex,1097,0,1097,6,0,2,672,Y,64,Normal,145000
38,Pave,Gtl,NAmes,1Story,5,6,1954,Gd,1297,0,1297,5,1,2,498,Y,0,Normal,153000
39,Pave,Gtl,NAmes,1Story,5,7,1953,TA,1057,0,1057,5,0,1,246,Y,52,Abnorml,109000
40,Pave,Gtl,Edwards,1Story,4,5,1955,TA,1152,0,1152,6,0,0,0,N,0,AdjLand,82000
41,Pave,Gtl,NAmes,1Story,6,5,1965,Ex,1324,0,1324,6,1,2,440,Y,138,Abnorml,160000
42,Pave,Gtl,Timber,1Story,5,6,1959,Gd,1328,0,1328,5,2,1,308,P,104,Normal,170000
43,Pave,Gtl,SawyerW,SFoyer,5,7,1983,Gd,884,0,884,5,0,2,504,Y,0,Normal,144000
44,Pave,Gtl,CollgCr,1Story,5,6,1975,TA,938,0,938,5,0,1,308,Y,0,Normal,130250
45,Pave,Gtl,NAmes,1Story,5,6,1959,Ex,1150,0,1150,6,0,1,300,Y,0,Normal,141000
46,Pave,Gtl,NridgHt,1Story,9,5,2005,Ex,1752,0,1752,6,1,2,576,Y,82,Normal,319900
47,Pave,Gtl,Mitchel,1.5Fin,7,5,2003,Ex,1518,631,2149,6,1,2,670,Y,43,Abnorml,239686
48,Pave,Gtl,Somerst,1Story,8,5,2006,Ex,1656,0,1656,7,0,3,826,Y,146,Normal,249700
49,Pave,Gtl,OldTown,2Story,4,5,1920,Gd,736,716,1452,8,0,0,0,N,0,Partial,113000
